id,season,Venue_Id,date,Match_Type_Id,player_of_match,Team1_Id,Team2_Id,Toss_Winner_Team_Id,toss_decision,Match_Winner_Team_Id,result,result_margin,target_runs,target_overs,super_over,method,Umpire1_Id,Umpire2_Id
501222,2011,26,4/22/2011,5,CH Gayle,7,12,12,field,12,wickets,9,172,20,N,NA,62,48
501223,2011,13,4/23/2011,5,DA Warner,3,5,5,field,3,runs,29,232,20,N,NA,53,49
501224,2011,19,4/24/2011,5,SL Malinga,2,9,2,field,9,runs,37,173,20,N,NA,25,6
501225,2011,21,4/24/2011,5,SK Warne,11,6,11,field,11,wickets,8,110,20,N,NA,15,60
501226,2011,10,4/25/2011,5,MEK Hussey,1,10,10,field,1,runs,25,143,20,N,NA,7,48
501227,2011,13,4/26/2011,5,V Kohli,3,12,12,field,12,wickets,3,161,20,N,NA,53,50
501228,2011,30,4/27/2011,5,DE Bollinger,10,1,10,bat,1,wickets,8,142,20,N,NA,9,61
501229,2011,25,4/27/2011,5,I Sharma,6,2,6,field,2,runs,55,130,20,N,NA,25,6
501230,2011,13,4/28/2011,5,MK Tiwary,3,7,3,field,7,runs,17,149,20,N,NA,46,50
501231,2011,21,4/29/2011,5,J Botha,11,9,11,field,11,wickets,7,95,20,N,NA,9,60
501232,2011,4,4/29/2011,5,V Kohli,12,10,10,field,12,runs,26,182,20,N,NA,7,62
501233,2011,25,4/30/2011,5,V Sehwag,6,3,3,bat,3,runs,38,158,20,N,NA,25,6
501234,2011,26,4/30/2011,5,Iqbal Abdulla,7,5,7,field,7,wickets,8,120,20,N,NA,8,61
501235,2011,21,5/1/2011,5,LRPL Taylor,11,10,11,field,11,wickets,6,144,20,N,NA,60,59
501236,2011,10,5/1/2011,5,JA Morkel,1,2,1,bat,1,runs,19,166,20,N,NA,7,48
501237,2011,31,5/2/2011,5,KA Pollard,9,5,5,field,9,runs,23,160,20,N,NA,25,46
501238,2011,13,5/2/2011,5,P Parameswaran,3,6,6,field,6,wickets,7,141,20,N,NA,9,61
501239,2011,19,5/3/2011,5,YK Pathan,2,7,2,field,7,runs,20,170,20,N,NA,53,50
501240,2011,10,5/4/2011,5,MEK Hussey,1,11,11,bat,1,wickets,8,148,20,N,NA,62,48
501241,2011,30,5/4/2011,5,R Sharma,10,9,10,field,9,runs,21,161,20,N,NA,25,59
501242,2011,25,5/5/2011,5,BJ Hodge,6,7,7,field,6,runs,17,157,20,N,NA,55,50
501243,2011,19,5/5/2011,5,V Sehwag,2,3,3,field,3,wickets,4,176,20,N,NA,9,8
501244,2011,4,5/6/2011,5,CH Gayle,12,5,5,field,12,runs,85,206,20,N,NA,7,48
501245,2011,26,5/7/2011,5,Iqbal Abdulla,7,1,1,bat,7,runs,10,52,10,N,D/L,9,46
501246,2011,31,5/7/2011,5,AT Rayudu,9,3,3,field,9,runs,32,179,20,N,NA,32,59
501247,2011,4,5/8/2011,5,CH Gayle,12,6,6,bat,12,wickets,9,126,20,N,NA,7,62
501248,2011,9,5/8/2011,5,R Sharma,5,10,5,bat,10,wickets,5,120,20,N,NA,60,50
501249,2011,21,5/9/2011,5,M Vijay,11,1,11,field,1,runs,63,197,20,N,NA,32,59
501250,2011,19,5/10/2011,5,MR Marsh,2,10,2,bat,10,wickets,6,137,20,N,NA,9,8
501251,2011,9,5/10/2011,5,BA Bhatt,5,9,9,field,5,runs,76,164,20,N,NA,60,50
501252,2011,21,5/11/2011,5,S Aravind,11,12,12,field,12,wickets,9,147,20,N,NA,25,32
501253,2011,10,5/12/2011,5,MS Dhoni,1,3,1,bat,1,runs,18,177,20,N,NA,8,61
501254,2011,20,5/13/2011,5,KD Karthik,6,5,5,field,5,wickets,6,179,20,N,NA,53,50
501255,2011,4,5/14/2011,5,CH Gayle,12,7,12,field,12,wickets,4,102,13,N,D/L,49,48
501256,2011,31,5/14/2011,5,A Mishra,9,2,2,bat,2,runs,10,136,20,N,NA,55,60
501257,2011,14,5/15/2011,5,PP Chawla,5,3,3,field,5,runs,29,171,20,N,NA,9,61
501258,2011,20,5/15/2011,5,BJ Hodge,6,11,6,field,6,wickets,8,98,20,N,NA,46,50
501259,2011,30,5/16/2011,5,A Mishra,10,2,2,field,2,wickets,6,137,20,N,NA,55,60
501260,2011,14,5/17/2011,5,AC Gilchrist,5,12,5,bat,5,runs,111,233,20,N,NA,9,8
501261,2011,10,5/18/2011,5,WP Saha,1,6,1,bat,1,runs,11,153,20,N,NA,25,49
501262,2011,30,5/19/2011,5,YK Pathan,10,7,7,field,7,wickets,7,119,20,N,NA,55,59
501263,2011,31,5/20/2011,5,SR Watson,9,11,9,bat,11,wickets,10,134,20,N,NA,49,46
501264,2011,14,5/21/2011,5,S Dhawan,5,2,5,field,2,runs,82,199,20,N,NA,9,8
501265,2011,13,5/21/2011,5,NA,3,10,3,bat,#N/A,no result,NA,NA,NA,N,NA,62,50
501266,2011,4,5/22/2011,5,CH Gayle,12,1,12,field,12,wickets,8,129,20,N,NA,32,49
501267,2011,26,5/22/2011,5,JEC Franklin,7,9,9,field,9,wickets,5,176,20,N,NA,60,59
501268,2011,31,5/24/2011,6,SK Raina,12,1,1,field,1,wickets,6,176,20,N,NA,9,59
501269,2011,31,5/25/2011,2,MM Patel,9,7,9,field,9,wickets,4,148,20,N,NA,9,59
501270,2011,10,5/27/2011,7,CH Gayle,12,9,9,field,12,runs,43,186,20,N,NA,9,59
501271,2011,10,5/28/2011,4,M Vijay,1,12,1,bat,1,runs,58,206,20,N,NA,9,59
548306,2012,10,4/4/2012,5,RE Levi,1,9,9,field,9,wickets,8,113,20,N,NA,30,59
548307,2012,26,4/5/2012,5,IK Pathan,7,3,3,field,3,wickets,8,98,12,N,NA,53,25
